,,,,,,,,,,,,,,,,,,,,
,Desmond Bane,MEM,23,6-5,215,TCU,USA,2020,1,30,65,17.8,4.5,2.6,4.2,1.8%,12.1%,22.4%,57.8%,12.7%
,Devin Booker,PHX,25,6-5,206,Kentucky,USA,2015,1,13,57,25.6,5.1,4.9,9.0,2.2%,11.8%,31.2%,56.0%,21.5%
,Devin Vassell,SAS,21,6-5,200,Florida State,USA,2020,1,11,59,11.8,4.4,1.8,1.1,2.0%,13.5%,18.4%,53.3%,9.1%
,Devon Dotson,CHI,22,6-1,185,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.6,0.8,1.4,-2.4,1.1%,10.5%,15.6%,53.8%,28.3%
,Devontae Cacok,SAS,25,6-7,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,11,3.6,3.3,0.5,-1.1,6.6%,31.2%,13.4%,68.8%,8.3%
,Devonte' Graham,NOP,27,6-1,195,Kansas,USA,2018,2,34,64,12.6,2.5,4.4,0.1,1.6%,6.7%,19.5%,51.5%,21.2%
,Dewayne Dedmon,MIA,32,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,59,6.3,5.9,0.7,5.0,10.5%,25.4%,16.1%,63.2%,7.1%
,Didi Louzada,POR,22,6-5,188,None,Brazil,2019,2,35,2,0.0,1.0,0.5,-20.5,18.2%,0.0%,18.8%,0.0%,20.0%
,Dillon Brooks,MEM,26,6-7,225,Oregon,Canada,2017,2,45,22,18.3,3.2,2.8,9.5,2.9%,8.3%,28.4%,52.0%,15.2%
,Domantas Sabonis,SAC,25,6-11,240,Gonzaga,Lithuania,2016,1,11,58,18.6,12.2,5.2,-0.5,9.4%,26.5%,21.8%,63.8%,23.8%
,Donovan Mitchell,UTA,25,6-1,215,Louisville,USA,2017,1,13,55,25.5,4.1,5.4,8.8,2.6%,9.1%,31.9%,57.4%,26.4%
,Donte DiVincenzo,SAC,25,6-4,203,Villanova,USA,2018,1,17,29,7.5,3.7,2.3,-6.4,4.2%,12.4%,18.2%,48.0%,15.1%
,Dorian Finney-Smith,DAL,28,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted,66,10.7,4.9,1.9,3.9,4.9%,10.0%,13.8%,58.9%,8.2%
,Doug McDermott,SAS,30,6-7,225,Creighton,USA,2014,1,11,51,11.3,2.3,1.3,-1.8,1.4%,7.6%,17.8%,59.3%,6.8%
,Draymond Green,GSW,32,6-6,230,Michigan State,USA,2012,2,35,34,7.9,7.6,7.4,9.8,3.8%,20.0%,14.2%,58.1%,32.8%
,Drew Eubanks,POR,25,6-9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,56,5.3,4.5,1.0,-9.8,9.8%,20.0%,16.3%,59.3%,11.1%
,Duane Washington Jr.,IND,21,6-3,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,37,9.4,1.7,1.8,-6.0,0.4%,7.9%,21.2%,51.2%,13.1%
,Duncan Robinson,MIA,27,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,66,11.2,2.8,1.7,2.0,1.2%,9.2%,17.5%,56.9%,9.5%
,Dwight Howard,LAL,36,6-10,265,None,USA,2004,1,1,48,5.2,5.6,0.6,-2.7,12.9%,23.9%,13.8%,64.8%,5.3%
,Dwight Powell,DAL,30,6-10,240,Stanford,Canada,2014,2,45,68,7.9,4.6,1.1,1.6,10.0%,12.7%,13.2%,70.8%,8.0%
,Dylan Windler,CLE,25,6-6,196,Belmont,USA,2019,1,26,38,2.5,1.7,0.7,-1.0,4.5%,14.1%,11.9%,57.3%,11.3%
,Ed Davis,CLE,32,6-9,218,North Carolina,USA,2010,1,13,24,1.2,2.5,0.2,-0.1,6.7%,24.7%,7.0%,63.2%,4.5%
,Elfrid Payton,PHX,28,6-3,195,Louisana-Lafayette,USA,2014,1,10,42,3.3,1.8,2.0,0.3,3.9%,11.3%,17.4%,41.9%,25.3%
,Elijah Hughes,POR,24,6-5,215,Syracuse,USA,2020,2,39,23,2.8,1.7,0.5,-25.8,2.0%,13.1%,15.9%,39.9%,7.9%
,Emanuel Terry,PHX,25,6-9,220,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted,3,0.0,5.0,0.7,-50.3,28.6%,38.9%,18.9%,0.0%,22.2%
,Emmanuel Mudiay,SAC,26,6-3,200,None,Democratic Re...,2015,1,7,2,1.5,0.0,2.0,-23.7,0.0%,0.0%,19.2%,39.9%,57.1%
,Enes Freedom,BOS,29,6-10,250,None,Turkey,2011,1,3,35,3.7,4.6,0.2,7.8,14.3%,21.9%,12.9%,58.5%,2.7%
,Eric Bledsoe,POR,32,6-1,214,Kentucky,USA,2010,1,18,54,9.9,3.4,4.2,-1.2,2.0%,10.5%,19.8%,51.4%,25.1%
,Eric Gordon,HOU,33,6-3,215,Indiana,USA,2008,1,7,54,13.8,2.0,2.8,-6.3,0.9%,5.6%,18.5%,61.2%,14.0%
,Eric Paschall,UTA,25,6-6,255,Villanova,USA,2019,2,41,48,5.6,1.9,0.6,0.8,4.2%,10.1%,16.5%,62.9%,7.3%
,Eugene Omoruyi,DAL,25,6-6,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,4,1.8,1.8,0.5,11.9,11.1%,27.8%,15.6%,51.8%,16.7%
,Evan Fournier,NYK,29,6-6,205,None,France,2012,1,20,66,14.4,2.8,1.8,-3.7,1.5%,7.4%,20.2%,56.0%,9.8%
,Evan Mobley,CLE,20,6-11,215,Southern California,USA,2021,1,3,59,14.9,8.3,2.6,2.0,5.9%,17.2%,19.8%,54.6%,11.8%
,Facundo Campazzo,DEN,30,5-10,195,None,Argentina,Undrafted,Undrafted,Undrafted,61,5.4,1.9,3.5,-8.7,1.9%,8.1%,14.3%,50.7%,27.5%
,Frank Jackson,DET,23,6-3,205,Duke,USA,2017,2,31,44,10.7,1.6,1.0,-9.9,1.3%,5.6%,20.3%,53.5%,7.2%
,Frank Kaminsky,PHX,28,7-0,240,Wisconsin,USA,2015,1,9,9,10.6,4.6,1.4,9.6,6.0%,14.4%,18.5%,63.5%,10.5%
,Frank Ntilikina,DAL,23,6-4,200,None,France,2017,1,8,48,4.2,1.3,1.1,3.9,1.2%,9.0%,16.3%,49.6%,13.6%
,Franz Wagner,ORL,20,6-10,220,Michigan,Germany,2021,1,8,69,15.2,4.7,3.0,-5.6,3.2%,10.8%,20.6%,55.5%,14.8%
,Fred VanVleet,TOR,28,6-1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,54,21.3,4.6,6.8,2.5,1.7%,10.3%,23.6%,56.8%,27.6%
,Freddie Gillespie,ORL,24,6-9,245,Baylor,USA,Undrafted,Undrafted,Undrafted,9,2.3,4.0,0.6,-13.6,9.9%,18.3%,10.9%,41.9%,6.1%
,Furkan Korkmaz,PHI,24,6-7,202,None,Turkey,2016,1,26,57,8.2,2.9,2.1,-0.4,1.4%,10.7%,17.1%,50.4%,13.4%
,Gabe Vincent,MIA,25,6-3,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,60,9.2,1.9,3.2,2.9,1.5%,6.3%,17.7%,55.7%,20.4%
,Gabriel Deck,OKC,27,6-6,231,None,Argentina,Undrafted,Undrafted,Undrafted,7,2.6,0.9,0.7,-13.6,1.7%,7.7%,11.9%,64.3%,14.7%
,Garrett Temple,NOP,35,6-5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,56,5.4,2.5,1.3,-14.4,2.5%,10.6%,13.5%,50.0%,10.5%
,Garrison Mathews,HOU,25,6-5,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,51,10.9,3.1,1.0,-5.6,1.8%,9.6%,14.1%,61.4%,5.1%
,Gary Clark,NOP,27,6-6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,32,2.5,2.5,0.4,-0.9,4.8%,18.6%,10.5%,52.9%,5.8%
,Gary Harris,ORL,27,6-4,210,Michigan State,USA,2014,1,19,59,11.3,2.0,1.8,-6.1,1.9%,4.7%,15.9%,57.7%,9.5%
,Gary Payton II,GSW,29,6-3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,60,7.1,3.4,0.8,9.3,5.6%,13.5%,14.3%,67.8%,7.2%
,Gary Trent Jr.,TOR,23,6-5,209,Duke,USA,2018,2,37,58,18.1,2.7,2.0,2.8,0.9%,7.2%,21.5%,54.2%,8.7%
,George Hill,MIL,35,6-4,188,Indiana-Purdue Indianapolis,USA,2008,1,26,41,7.0,3.2,2.5,14.2,3.2%,8.4%,11.7%,56.4%,12.7%
,George King,DAL,28,6-6,220,Colorado Boulder,USA,2018,2,59,4,0.3,1.3,0.0,-62.2,0.0%,25.0%,15.9%,8.5%,0.0%
,Georges Niang,PHI,28,6-7,230,Iowa State,USA,2016,2,50,62,9.5,2.7,1.4,4.0,1.4%,9.6%,16.4%,59.3%,9.2%
,Georgios Kalaitzakis,MIL,23,6-7,192,None,Greece,2021,2,60,9,1.8,0.9,0.0,-45.2,8.5%,7.7%,17.1%,53.5%,0.0%
,Giannis Antetokounmpo,MIL,27,6-11,242,None,Greece,2013,1,15,57,29.7,11.5,5.9,8.2,5.9%,26.4%,34.0%,63.2%,31.5%
,Goga Bitadze,IND,22,7-0,250,None,Georgia,2019,1,18,42,5.5,3.2,0.9,-0.2,11.0%,14.0%,19.1%,55.4%,10.1%
,Goran Dragic,BKN,35,6-3,190,None,Slovenia,2008,2,45,13,7.2,2.8,3.5,-4.3,2.8%,10.9%,16.8%,46.9%,23.4%
,Gordon Hayward,CHA,31,6-7,225,Butler,USA,2010,1,9,48,16.1,4.6,3.6,-0.2,2.2%,11.4%,20.2%,57.1%,15.8%
,Gorgui Dieng,ATL,32,6-10,248,Louisville,Senegal,2013,1,21,40,3.6,2.9,0.8,-8.3,8.7%,23.6%,16.0%,62.4%,15.6%
,Grant Williams,BOS,23,6-6,236,Tennessee,USA,2019,1,22,64,7.6,3.4,1.0,2.5,3.4%,10.2%,12.0%,65.0%,6.3%
,Grayson Allen,MIL,26,6-4,198,Duke,USA,2018,1,21,56,11.3,3.4,1.6,5.3,1.7%,9.6%,15.3%,58.7%,7.8%
,Greg Brown III,POR,20,6-7,206,Texas-Austin,USA,2021,2,43,34,3.7,2.2,0.4,-14.4,5.6%,14.6%,17.6%,47.8%,6.6%
,Greg Monroe,MIL,31,6-10,250,Georgetown,USA,2010,1,7,10,5.5,5.2,1.4,-0.1,13.2%,18.7%,15.6%,54.8%,14.0%
,Hamidou Diallo,DET,23,6-5,202,Kentucky,USA,2018,2,45,58,11.0,4.8,1.3,-7.6,4.9%,16.2%,21.3%,54.1%,9.8%
,Harrison Barnes,SAC,29,6-8,225,North Carolina,USA,2012,1,7,64,17.3,5.9,2.5,-6.4,3.2%,14.0%,18.7%,63.6%,10.4%
,Hassan Whiteside,UTA,32,7-0,265,Marshall,USA,2010,2,33,55,8.5,7.9,0.4,11.4,14.0%,28.1%,16.6%,66.1%,2.7%
,Hassani Gravett,ORL,25,6-2,187,South Carolina,USA,2019,,,8,6.3,2.6,2.5,-1.8,0.6%,11.4%,13.0%,62.9%,17.7%
,Haywood Highsmith,MIA,25,6-4,220,Wheeling Jesuit,USA,2018,,,13,2.1,1.3,0.1,-16.6,6.3%,9.7%,11.8%,48.6%,1.4%
,Herbert Jones,NOP,23,6-7,206,Alabama,USA,2021,2,35,65,9.5,3.9,2.2,1.5,4.3%,8.5%,13.6%,57.5%,10.1%
,Ignas Brazdeikis,ORL,23,6-6,221,Michigan,Canada,2019,2,47,31,3.2,1.3,0.7,-4.9,3.9%,9.5%,16.1%,50.3%,12.0%
,Immanuel Quickley,NYK,22,6-3,190,Kentucky,USA,2020,1,25,64,10.0,2.8,3.0,5.6,1.9%,9.9%,21.0%,52.7%,21.8%
,Isaac Bonga,TOR,22,6-8,180,None,Germany,2018,2,39,15,0.8,0.5,0.3,-22.6,4.3%,3.8%,10.8%,36.3%,8.9%
,Isaac Okoro,CLE,21,6-5,225,Auburn,USA,2020,1,5,52,8.9,3.1,1.8,3.4,4.0%,6.7%,13.2%,57.0%,8.4%
,Isaiah Hartenstein,LAC,23,7-0,250,None,Germany,2017,2,43,56,7.7,4.5,2.0,5.6,9.4%,15.3%,17.6%,65.1%,17.7%
,Isaiah Jackson,IND,20,6-10,205,Kentucky,USA,2021,1,22,29,7.7,4.1,0.3,-1.7,12.5%,16.6%,22.3%,61.0%,3.2%
,Isaiah Joe,PHI,22,6-4,165,Arkansas,USA,2020,2,49,47,3.7,1.1,0.7,0.2,1.1%,7.6%,14.0%,52.0%,8.2%
,Isaiah Livers,DET,23,6-6,232,Michigan,USA,2021,2,42,9,3.7,1.9,0.7,-6.4,7.8%,5.8%,13.3%,51.6%,7.2%
,Isaiah Roby,OKC,24,6-8,230,Nebraska-Lincoln,USA,2019,2,45,30,8.7,4.2,1.1,-9.4,7.1%,13.8%,18.2%,60.1%,9.9%
,Isaiah Stewart,DET,20,6-8,250,Washington,USA,2020,1,16,57,8.2,8.5,1.1,-10.3,11.1%,20.4%,14.4%,54.2%,6.5%
,Isaiah Thomas,CHA,33,5-9,185,Washington,USA,2011,2,60,8,9.0,1.8,1.9,-4.4,1.2%,7.1%,21.8%,47.3%,14.0%
,Isaiah Todd,WAS,20,6-9,219,None,USA,2021,2,31,10,1.6,1.0,0.3,-0.1,4.1%,20.5%,23.1%,40.7%,14.3%
,Ish Smith,WAS,33,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,49,5.6,2.0,3.3,-5.9,2.5%,9.7%,18.8%,47.5%,30.9%
,Ish Wainright,PHX,27,6-5,250,Baylor,USA,Undrafted,Undrafted,Undrafted,36,1.7,1.1,0.3,4.0,6.3%,7.1%,12.1%,43.0%,5.3%
,Ivica Zubac,LAC,24,7-0,240,None,Croatia,2016,2,32,64,10.2,8.4,1.5,-4.0,11.2%,22.4%,16.4%,66.7%,8.9%
,JT Thor,CHA,19,6-9,203,Auburn,USA,2021,2,37,26,2.4,1.5,0.7,4.9,4.6%,10.5%,11.5%,54.2%,9.9%
,Ja Morant,MEM,22,6-3,174,Murray State,USA,2019,1,2,55,27.5,5.8,6.7,4.0,3.6%,12.7%,32.8%,57.6%,33.0%
,JaMychal Green,DEN,31,6-8,227,Alabama,USA,Undrafted,Undrafted,Undrafted,55,6.7,4.2,0.8,-3.7,6.9%,19.2%,18.1%,58.4%,8.5%
,JaQuori McLaughlin,DAL,24,6-4,190,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.0,0.5,-34.6,0.0%,0.0%,6.5%,0.0%,20.0%
,JaVale McGee,PHX,34,7-0,270,Nevada-Reno,USA,2008,1,18,62,9.3,6.7,0.6,7.5,13.7%,26.9%,21.9%,65.3%,6.1%
,Jabari Parker,BOS,26,6-7,245,Duke,USA,2014,1,2,12,4.4,2.3,0.5,-0.8,4.2%,18.0%,19.1%,63.2%,9.4%
,Jaden McDaniels,MIN,21,6-9,185,Washington,USA,2020,1,28,66,9.4,4.3,1.2,1.0,4.0%,11.4%,15.1%,54.9%,6.4%
,Jaden Springer,PHI,19,6-4,202,Tennessee,USA,2021,1,28,2,1.0,1.0,0.0,-72.4,14.3%,12.5%,11.8%,100%,0.0%
,Jae Crowder,PHX,31,6-6,235,Marquette,USA,2012,2,34,58,9.7,5.3,1.7,10.6,1.7%,16.0%,14.8%,54.5%,7.6%
,Jae'Sean Tate,HOU,26,6-4,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,64,12.3,5.5,3.0,-9.9,6.0%,13.9%,19.7%,57.6%,18.2%
,Jahmi'us Ramsey,SAC,20,6-3,190,Texas Tech,USA,2020,2,43,19,3.2,0.7,0.4,-6.0,2.7%,6.8%,20.8%,46.8%,7.5%
,Jaime Echenique,WAS,24,6-10,258,Wichita State,Colombia,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-30.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Jake Layman,MIN,28,6-8,209,Maryland,USA,2016,2,47,27,2.1,1.1,0.3,-8.0,2.9%,11.9%,15.0%,44.3%,6.0%
,Jakob Poeltl,SAS,26,7-1,245,Utah,Austria,2016,1,9,56,13.5,9.2,2.9,3.8,12.5%,17.5%,18.2%,61.1%,13.4%
,Jalen Brunson,DAL,25,6-1,190,Villanova,USA,2018,2,33,65,16.0,3.7,5.2,3.9,1.6%,10.0%,21.4%,57.7%,25.8%
,Jalen Green,HOU,20,6-4,186,None,USA,2021,1,2,53,15.6,3.2,2.6,-15.3,1.6%,8.5%,22.7%,53.0%,13.6%
,Jalen Johnson,ATL,20,6-8,219,Duke,USA,2021,1,20,16,1.8,1.1,0.1,-15.5,0.0%,20.5%,17.5%,58.8%,3.1%
,Jalen McDaniels,CHA,24,6-9,205,San Diego State,USA,2019,2,52,41,6.4,3.4,1.1,1.4,4.0%,14.4%,15.1%,58.7%,8.7%
,Jalen Smith,IND,21,6-10,215,Maryland,USA,2020,1,10,42,8.1,5.8,0.5,5.5,10.3%,21.4%,18.2%,59.6%,4.0%
,Jalen Suggs,ORL,20,6-5,205,Gonzaga,USA,2021,1,5,46,12.1,3.7,4.4,-7.1,1.9%,10.2%,24.6%,45.6%,25.0%
,James Bouknight,CHA,21,6-4,190,Connecticut,USA,2021,1,11,28,5.0,1.7,0.8,-5.8,6.3%,8.4%,22.5%,46.8%,12.0%
,James Ennis III,DEN,31,6-6,215,Cal State-Long Beach,USA,2013,2,50,7,4.1,1.7,0.4,0.9,8.6%,12.1%,20.6%,55.3%,8.1%
,James Harden,PHI,32,6-5,220,Arizona State,USA,2009,1,3,51,22.5,7.9,10.2,2.0,2.5%,17.9%,27.4%,58.2%,40.6%
,James Johnson,BKN,35,6-7,240,Wake Forest,USA,2009,1,16,52,6.1,3.5,2.1,-0.9,4.3%,12.3%,14.5%,52.1%,15.4%
,Jamorko Pickett,DET,24,6-9,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,7,1.6,1.7,0.1,-24.3,4.8%,18.4%,11.9%,39.3%,2.9%
,Jared Butler,UTA,21,6-3,193,Baylor,USA,2021,2,40,31,3.4,0.8,1.3,-8.5,1.7%,8.1%,22.9%,48.9%,25.8%
,Jared Harper,NOP,24,5-10,175,Auburn,USA,Undrafted,Undrafted,Undrafted,2,3.5,0.5,1.5,0.0,10.0%,0.0%,36.4%,50.0%,60.0%
,Jaren Jackson Jr.,MEM,22,6-11,242,Michigan State,USA,2018,1,4,68,16.4,5.9,1.0,6.8,5.0%,14.4%,24.7%,53.4%,5.4%
,Jarred Vanderbilt,MIN,22,6-9,214,Kentucky,USA,2018,2,41,62,6.9,8.7,1.4,5.5,10.7%,21.7%,10.5%,61.0%,7.0%
,Jarrett Allen,CLE,23,6-10,243,Texas-Austin,USA,2017,1,22,56,16.1,10.8,1.6,3.3,10.9%,21.3%,17.7%,69.8%,7.9%
,Jarrett Culver,MEM,23,6-6,195,Texas Tech,USA,2019,1,6,29,3.5,1.3,1.0,2.3,3.3%,10.5%,19.1%,45.9%,14.7%
,Jarron Cumberland,POR,24,6-5,205,Cincinnati,USA,Undrafted,Undrafted,Undrafted,3,0.7,1.0,0.3,40.2,5.9%,18.2%,6.1%,50.0%,10.0%
,Javin DeLaurier,MIL,23,6-10,234,Duke,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,0.0,57.1,0.0%,25.0%,0.0%,0.0%,0.0%
,Javonte Green,CHI,28,6-5,205,Radford,USA,Undrafted,Undrafted,Undrafted,50,7.6,4.2,1.0,2.9,6.6%,10.9%,11.6%,63.9%,5.2%
,Javonte Smart,MIA,22,6-4,205,Louisiana State,USA,Undrafted,Undrafted,Undrafted,14,2.2,1.4,1.0,-9.3,2.2%,9.4%,14.1%,34.0%,12.6%
,Jaxson Hayes,NOP,21,6-11,220,Texas-Austin,USA,2019,1,8,56,8.8,4.2,0.6,-1.8,7.9%,15.2%,16.2%,70.0%,5.0%
,Jay Huff,LAL,24,7-1,240,Virginia,USA,Undrafted,Undrafted,Undrafted,4,0.0,1.0,0.3,36.5,4.0%,11.1%,8.3%,0.0%,7.1%
,Jay Scrubb,LAC,21,6-5,220,John A. Logan,USA,2020,2,55,18,2.7,0.9,0.4,6.9,1.6%,10.0%,18.8%,48.6%,9.5%
,Jaylen Brown,BOS,25,6-6,223,California,USA,2016,1,3,54,22.9,6.1,3.4,8.2,2.4%,14.4%,29.6%,56.0%,17.0%
,Jaylen Hoard,OKC,22,6-8,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,1,0.0,2.0,0.0,-100.0,25.0%,20.0%,20.0%,0.0%,0.0%
,Jaylen Morris,SAS,26,6-5,185,Molloy,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.7,22.9,0.0%,11.8%,23.1%,12.9%,14.3%
,Jaylen Nowell,MIN,22,6-4,201,Washington,USA,2019,2,43,50,8.1,1.9,2.2,2.5,2.1%,10.0%,20.0%,58.1%,21.3%
,Jaysean Paige,DET,27,6-2,200,West Virginia,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,1.0,-69.6,0.0%,9.1%,21.1%,0.0%,33.3%
,Jayson Tatum,BOS,24,6-8,210,Duke,USA,2017,1,3,65,26.8,8.2,4.2,10.0,3.4%,18.0%,31.5%,56.2%,19.9%
,Jeff Dowtin,MIL,24,6-3,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted,5,1.2,1.4,0.6,17.1,3.4%,16.7%,10.8%,42.9%,13.6%
,Jeff Green,DEN,35,6-8,235,Georgetown,USA,2007,1,5,63,10.5,3.1,1.3,1.4,2.5%,10.1%,16.5%,61.6%,7.2%
,Jemerrio Jones,LAL,26,6-5,175,New Mexico State,USA,2018,,,2,2.0,1.5,0.0,-38.0,11.8%,5.6%,8.3%,66.7%,0.0%
,Jerami Grant,DET,28,6-8,210,Syracuse,USA,2014,2,39,43,19.0,4.1,2.4,-8.9,1.7%,10.7%,24.9%,54.7%,13.2%
,Jeremiah Robinson-Earl,OKC,21,6-8,242,Villanova,USA,2021,2,32,44,7.1,5.8,1.0,-10.4,6.2%,17.0%,14.6%,50.6%,6.6%
,Jeremy Lamb,SAC,29,6-5,180,Connecticut,USA,2012,1,12,46,7.3,2.6,1.4,2.1,2.2%,13.3%,19.0%,51.8%,11.8%
,Jericho Sims,NYK,23,6-9,250,Texas-Austin,USA,2021,2,58,27,1.4,2.9,0.3,-1.8,10.4%,19.3%,6.1%,67.8%,4.8%
,Jevon Carter,MIL,26,6-1,200,West Virginia,USA,2018,2,32,54,3.9,1.5,1.1,-0.5,1.6%,8.8%,14.3%,49.5%,12.4%
,Jimmy Butler,MIA,32,6-7,230,Marquette,USA,2011,1,30,47,21.4,6.1,5.6,7.0,5.6%,12.8%,26.3%,58.2%,27.3%
,Jock Landale,SAS,26,6-11,255,None,Australia,Undrafted,Undrafted,Undrafted,42,5.2,2.3,0.9,-0.3,9.1%,10.2%,17.7%,61.6%,12.7%
,Joe Harris,BKN,30,6-6,220,Virginia,USA,2014,2,33,14,11.3,4.0,1.0,1.1,1.2%,10.9%,14.6%,62.4%,4.7%
,Joe Ingles,POR,34,6-8,220,None,Australia,Undrafted,Undrafted,Undrafted,45,7.2,2.9,3.5,8.2,1.0%,9.9%,12.9%,55.1%,19.5%
,Joe Johnson,BOS,40,6-7,240,Arkansas,USA,2001,1,10,1,2.0,0.0,0.0,-100.0,0.0%,0.0%,20.0%,100%,0.0%
,Joe Wieskamp,SAS,22,6-6,205,Iowa,USA,2021,2,41,19,1.9,0.4,0.3,0.5,2.4%,4.5%,13.0%,55.9%,7.7%
,Joel Ayayi,WAS,22,6-4,180,Gonzaga,France,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.6,12.2,3.7%,10.5%,13.3%,16.7%,36.4%
,Joel Embiid,PHI,27,7-0,280,Kansas,Cameroon,2014,1,3,54,29.8,11.3,4.4,7.2,6.5%,26.8%,37.6%,60.8%,25.0%
,John Collins,ATL,24,6-9,226,Wake Forest,USA,2017,1,19,54,16.2,7.8,1.8,0.8,5.6%,19.0%,20.2%,61.0%,8.8%
,John Konchar,MEM,25,6-5,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,59,4.5,4.5,1.4,2.0,5.4%,17.8%,9.3%,59.8%,9.8%
,Jon Teske,MEM,24,7-1,265,Michigan,USA,Undrafted,Undrafted,Undrafted,3,0.0,0.7,0.3,-7.1,0.0%,28.6%,10.0%,0.0%,16.7%
,Jonas Valanciunas,NOP,29,6-11,265,None,Lithuania,2011,1,5,62,17.9,11.4,2.5,0.1,9.8%,27.3%,24.0%,61.1%,13.1%
,Jonathan Kuminga,GSW,19,6-7,225,None,DRC,2021,1,7,56,9.1,3.2,0.8,1.2,4.6%,14.0%,22.8%,60.3%,8.0%
,Jordan Bell,CHI,27,6-7,216,Oregon,USA,2017,2,38,1,0.0,1.0,0.0,25.0,50.0%,0.0%,0.0%,0.0%,0.0%
