,,,,,,,,,,,,,,,,,,,,
,Jordan Clarkson,UTA,29,6-4,194,Missouri,USA,2014,2,46,64,15.9,3.3,2.3,8.8,2.8%,9.0%,26.2%,53.4%,13.9%
,Jordan Goodwin,WAS,23,6-3,200,St. Louis,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.5,0.0,-110.0,0.0%,20.0%,25.0%,0.0%,0.0%
,Jordan McLaughlin,MIN,25,5-11,185,Southern California,USA,Undrafted,Undrafted,Undrafted,50,3.2,1.5,2.9,2.6,2.0%,8.0%,11.8%,46.4%,27.5%
,Jordan Nwora,MIL,23,6-8,225,Louisville,USA,2020,2,45,54,7.7,3.6,1.0,-1.5,3.0%,14.6%,18.3%,50.8%,7.4%
,Jordan Poole,GSW,22,6-4,194,Michigan,USA,2019,1,28,62,16.9,3.2,3.6,7.9,1.6%,8.9%,23.9%,59.9%,19.3%
,Jordan Schakel,WAS,23,6-6,200,San Diego State,USA,Undrafted,Undrafted,Undrafted,2,0.0,1.5,0.0,21.9,12.5%,8.3%,18.2%,0.0%,0.0%
,Jose Alvarado,NOP,23,6-0,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,40,5.3,1.6,2.4,12.5,2.5%,8.7%,17.2%,50.6%,24.4%
,Josh Christopher,HOU,20,6-3,215,Arizona State,USA,2021,1,24,60,7.6,2.4,1.9,-8.8,3.8%,10.5%,20.5%,53.6%,16.4%
,Josh Giddey,OKC,19,6-8,205,None,Australia,2021,1,6,54,12.5,7.8,6.4,-8.3,5.2%,17.5%,21.8%,47.8%,32.5%
,Josh Green,DAL,21,6-5,200,Arizona,Australia,2020,1,18,53,4.6,2.4,1.2,5.5,5.6%,10.1%,13.0%,57.4%,11.9%
,Josh Hart,POR,27,6-5,215,Villanova,USA,2017,1,30,50,14.2,7.4,4.1,-4.4,3.5%,18.7%,17.9%,60.3%,18.9%
,Josh Jackson,SAC,25,6-8,207,Kansas,USA,2017,1,4,43,6.5,2.9,1.2,-9.4,2.3%,15.4%,19.2%,49.4%,11.1%
,Josh Okogie,MIN,23,6-4,213,Georgia Tech,Nigeria,2018,1,20,39,2.6,1.7,0.5,1.8,4.9%,8.6%,11.1%,49.0%,5.8%
,Josh Richardson,SAS,28,6-5,200,Tennessee,USA,2015,2,40,52,9.4,2.8,1.6,3.1,2.7%,8.6%,16.3%,55.9%,10.1%
,Joshua Primo,SAS,19,6-4,189,Alabama,Canada,2021,1,12,36,4.9,2.2,1.5,-4.4,4.0%,8.3%,15.2%,48.1%,11.6%
,Jrue Holiday,MIL,31,6-3,205,UCLA,USA,2009,1,17,55,18.2,4.6,6.7,8.0,3.3%,9.9%,22.9%,59.4%,29.1%
,Juan Toscano-Anderson,GSW,28,6-6,209,Marquette,USA,Undrafted,Undrafted,Undrafted,65,4.3,2.6,1.8,2.7,3.2%,14.5%,14.7%,55.2%,18.5%
,Juancho Hernangomez,UTA,26,6-9,214,None,Spain,2016,1,15,27,1.3,1.6,0.3,-12.4,7.1%,15.8%,13.3%,40.5%,6.9%
,Julius Randle,NYK,27,6-8,250,Kentucky,USA,2014,1,7,66,20.5,9.9,5.2,-4.3,4.5%,22.2%,27.8%,51.9%,25.1%
,Justin Anderson,IND,28,6-5,231,Virginia,USA,2015,1,21,6,3.5,1.7,1.5,27.8,2.6%,9.3%,13.4%,47.6%,13.0%
,Justin Champagnie,TOR,20,6-6,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,35,2.2,2.0,0.3,8.9,11.3%,12.3%,11.0%,56.6%,5.2%
,Justin Holiday,SAC,32,6-6,180,Washington,USA,Undrafted,Undrafted,Undrafted,62,10.5,2.7,1.8,-2.9,1.3%,8.1%,15.6%,54.4%,8.5%
,Justin Jackson,PHX,26,6-8,220,North Carolina,USA,2017,1,15,7,2.1,1.0,0.3,-15.6,1.9%,16.7%,17.7%,47.2%,12.5%
,Justin Robinson,DET,24,6-1,195,Virginia Tech,USA,2019,,,25,3.1,0.8,1.3,-17.5,1.1%,5.1%,15.3%,40.4%,17.5%
,Justise Winslow,POR,25,6-6,222,Duke,USA,2015,1,10,44,5.5,4.1,1.7,2.7,5.6%,17.8%,17.2%,50.4%,15.6%
,Jusuf Nurkic,POR,27,6-11,290,None,Bosnia and He...,2014,1,16,56,15.0,11.1,2.8,-0.1,10.1%,28.3%,23.3%,58.6%,16.0%
,Juwan Morgan,TOR,24,6-7,232,Indiana,USA,Undrafted,Undrafted,Undrafted,1,5.0,4.0,1.0,-43.1,6.5%,7.1%,4.5%,83.3%,5.9%
,KZ Okpala,MIA,22,6-8,215,Stanford,USA,2019,2,32,21,3.7,2.0,0.7,2.7,4.4%,11.8%,14.1%,52.1%,8.2%
,Kai Jones,CHA,21,6-10,221,Texas-Austin,Bahamas,2021,1,19,19,1.1,0.5,0.2,-6.5,5.1%,11.1%,15.9%,60.5%,10.8%
,Karl-Anthony Towns,MIN,26,6-11,248,Kentucky,USA,2015,1,1,62,24.3,9.8,3.8,5.3,7.4%,20.4%,26.9%,63.6%,18.4%
,Keifer Sykes,IND,28,5-11,167,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,25,5.6,1.6,2.0,-4.6,1.5%,7.9%,17.5%,44.3%,17.0%
,Keita Bates-Diop,SAS,26,6-8,229,Ohio State,USA,2018,2,48,51,5.3,3.9,0.7,0.4,5.6%,16.8%,13.7%,57.1%,5.5%
,Kelan Martin,BOS,26,6-5,230,Butler,USA,Undrafted,Undrafted,Undrafted,30,5.7,1.8,0.7,-6.2,3.5%,8.6%,18.0%,48.4%,7.2%
,Keldon Johnson,SAS,22,6-6,220,Kentucky,USA,2019,1,29,62,16.0,6.1,1.8,1.4,3.2%,14.8%,20.4%,56.6%,7.7%
,Keljin Blevins,POR,26,6-4,200,Montana State,USA,2019,,,18,2.7,0.8,0.7,-32.9,3.6%,5.6%,15.1%,52.5%,12.6%
,Kelly Olynyk,DET,30,6-11,240,Gonzaga,Canada,2013,1,13,31,9.1,4.6,2.7,-9.0,6.9%,17.6%,21.4%,53.5%,21.2%
,Kelly Oubre Jr.,CHA,26,6-6,203,Kansas,USA,2015,1,15,62,16.1,4.1,1.2,-1.2,3.7%,10.0%,22.8%,55.8%,6.5%
,Kemba Walker,NYK,31,6-0,184,Connecticut,USA,2011,1,9,37,11.6,3.0,3.5,-9.1,1.4%,9.9%,20.2%,53.7%,22.0%
,Kenrich Williams,OKC,27,6-6,210,TCU,USA,Undrafted,Undrafted,Undrafted,49,7.4,4.5,2.2,1.7,6.2%,12.3%,15.3%,53.2%,15.9%
,Kent Bazemore,LAL,32,6-4,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,37,3.6,1.8,0.9,-7.8,2.3%,9.5%,12.8%,46.6%,8.6%
,Kentavious Caldwell-Pope,WAS,29,6-5,204,Georgia,USA,2013,1,8,63,12.4,3.3,1.9,-5.1,1.7%,9.3%,17.8%,55.5%,9.3%
,Kenyon Martin Jr.,HOU,21,6-5,215,None,USA,2020,2,52,65,8.8,3.9,1.4,-7.5,4.9%,13.9%,16.4%,59.3%,10.0%
,Keon Johnson,POR,20,6-4,185,Tennessee,USA,2021,1,21,22,5.0,1.8,1.3,-14.3,3.2%,9.6%,19.7%,43.5%,15.7%
,Kessler Edwards,BKN,21,6-7,203,Pepperdine,USA,2021,2,44,34,5.9,3.9,0.6,-7.8,4.0%,13.2%,13.1%,49.2%,3.8%
,Kevin Durant,BKN,33,6-10,240,Texas-Austin,USA,2007,1,2,41,29.6,7.3,5.9,5.2,1.6%,16.7%,31.3%,62.8%,26.6%
,Kevin Huerter,ATL,23,6-7,198,Maryland,USA,2018,1,19,59,11.7,3.3,2.7,4.0,1.5%,9.2%,16.7%,57.1%,12.4%
,Kevin Knox II,ATL,22,6-7,215,Kentucky,USA,2018,1,9,23,2.9,1.5,0.3,-14.2,5.5%,12.1%,17.8%,47.1%,7.7%
,Kevin Love,CLE,33,6-8,251,UCLA,USA,2008,1,5,59,13.8,7.2,2.2,3.5,4.7%,25.8%,24.3%,59.0%,15.3%
,Kevin Pangos,CLE,29,6-1,179,Gonzaga,Canada,Undrafted,Undrafted,Undrafted,24,1.6,0.5,1.3,-12.1,1.2%,5.7%,14.3%,40.8%,24.6%
,Kevin Porter Jr.,HOU,21,6-4,203,Southern California,USA,2019,1,30,47,13.8,4.1,6.0,-7.8,2.2%,10.7%,23.4%,51.3%,30.3%
,Kevon Looney,GSW,26,6-9,222,UCLA,USA,2015,1,30,68,6.4,7.6,2.0,7.1,12.3%,21.1%,12.5%,58.3%,12.3%
,Khem Birch,TOR,29,6-9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,41,4.7,4.5,1.1,1.6,11.2%,13.3%,11.1%,52.7%,7.6%
,Khris Middleton,MIL,30,6-7,222,Texas A&M,USA,2012,2,39,56,20.3,5.3,5.4,5.9,2.0%,13.2%,25.5%,58.0%,24.5%
,Killian Hayes,DET,20,6-5,195,None,France,2020,1,7,53,6.0,3.0,4.2,-11.2,2.1%,10.2%,14.6%,44.4%,24.5%
,Killian Tillie,MEM,24,6-9,220,Gonzaga,France,Undrafted,Undrafted,Undrafted,35,3.4,1.7,0.6,3.8,4.1%,8.5%,12.8%,45.6%,5.9%
,Kira Lewis Jr.,NOP,20,6-1,170,Alabama,USA,2020,1,13,24,5.9,1.6,2.0,-14.1,2.3%,8.3%,20.9%,46.6%,23.9%
,Klay Thompson,GSW,32,6-6,220,Washington State,USA,2011,1,11,22,17.7,4.0,3.0,8.2,1.7%,11.7%,27.7%,53.9%,16.8%
,Kristaps Porzingis,WAS,26,7-3,240,None,Latvia,2015,1,4,37,19.2,7.6,2.0,1.0,6.4%,19.0%,27.5%,56.5%,11.6%
,Kyle Anderson,MEM,28,6-9,230,UCLA,USA,2014,1,30,56,7.3,5.4,2.6,1.6,4.2%,19.9%,15.5%,49.2%,16.2%
,Kyle Guy,MIA,24,6-1,167,Virginia,USA,2019,2,55,18,4.1,0.8,0.9,-12.3,1.5%,6.5%,18.2%,54.2%,15.0%
,Kyle Kuzma,WAS,26,6-9,221,Utah,USA,2017,1,27,63,17.4,8.6,3.4,-5.5,3.2%,21.4%,23.8%,55.3%,15.8%
,Kyle Lowry,MIA,35,6-0,196,Villanova,USA,2006,1,24,52,12.8,4.6,7.9,5.8,1.6%,11.8%,17.8%,57.0%,33.0%
,Kyrie Irving,BKN,29,6-2,195,Duke,Australia,2011,1,1,18,25.9,4.6,5.4,2.5,1.5%,11.1%,28.3%,59.1%,23.0%
,LaMarcus Aldridge,BKN,36,6-11,250,Texas-Austin,USA,2006,1,2,45,13.5,5.6,0.9,1.0,7.1%,16.1%,22.2%,60.7%,6.2%
,LaMelo Ball,CHA,20,6-7,180,None,USA,2020,1,3,61,19.6,6.9,7.3,-0.4,4.4%,15.8%,27.2%,53.9%,33.6%
,Lamar Stevens,CLE,24,6-6,230,Penn State,USA,Undrafted,Undrafted,Undrafted,48,4.9,2.2,0.6,-1.3,4.5%,10.4%,16.2%,51.7%,6.7%
,Lance Stephenson,IND,31,6-5,210,Cincinnati,USA,2010,2,40,33,8.2,2.9,3.5,-2.1,1.8%,14.3%,21.9%,51.6%,27.9%
,Landry Shamet,PHX,25,6-4,190,Wichita State,USA,2018,1,26,55,7.7,1.9,1.6,6.4,1.1%,7.4%,15.6%,53.4%,10.9%
,Langston Galloway,MIL,30,6-1,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,7,2.0,2.6,1.7,-6.6,2.3%,10.6%,11.8%,26.9%,15.6%
,Larry Nance Jr.,NOP,29,6-7,245,Wyoming,USA,2015,1,27,37,6.9,5.6,2.0,-1.5,6.6%,17.7%,12.5%,58.1%,12.5%
,Lauri Markkanen,CLE,24,6-11,240,Arizona,Finland,2017,1,7,46,14.1,5.5,1.4,4.6,3.6%,13.6%,19.2%,55.7%,6.6%
,LeBron James,LAL,37,6-9,250,None,USA,2003,1,1,49,29.7,8.1,6.3,-1.9,2.9%,18.7%,31.4%,62.0%,30.2%
,Leandro Bolmaro,MIN,21,6-6,200,None,Argentina,2020,1,23,28,1.3,1.3,0.5,-3.7,6.5%,10.0%,11.3%,40.0%,8.9%
,Lindell Wigginton,MIL,23,6-1,189,Iowa State,Canada,2019,,,15,3.1,1.1,0.5,-6.8,1.7%,11.0%,15.8%,58.9%,10.0%
,Lindy Waters III,OKC,24,6-6,215,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,12,6.1,2.0,0.6,-16.4,0.0%,12.8%,13.4%,57.0%,5.3%
,Lonnie Walker IV,SAS,23,6-4,204,Miami,USA,2018,1,18,62,12.1,2.6,2.2,-3.4,1.1%,9.2%,23.2%,50.7%,13.6%
,Lonzo Ball,CHI,24,6-6,190,UCLA,USA,2017,1,2,35,13.0,5.4,5.1,3.1,2.9%,12.5%,17.0%,57.5%,20.3%
,Lou Williams,ATL,35,6-2,175,None,USA,2005,2,45,47,6.6,1.5,2.0,0.4,1.9%,8.1%,21.4%,50.8%,20.4%
,Louis King,SAC,22,6-7,205,Oregon,USA,Undrafted,Undrafted,Undrafted,10,4.5,1.2,0.9,-11.9,0.0%,11.5%,19.5%,43.8%,12.5%
,Luguentz Dort,OKC,22,6-3,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted,51,17.2,4.2,1.7,-8.1,2.0%,9.7%,22.8%,54.1%,8.7%
,Luka Doncic,DAL,23,6-7,230,None,Slovenia,2018,1,3,52,28.0,9.3,8.6,3.4,2.6%,23.2%,36.5%,56.1%,45.3%
,Luka Garza,DET,23,6-10,243,Iowa,USA,2021,2,52,30,5.2,2.9,0.5,-4.8,12.8%,11.9%,18.6%,53.7%,7.6%
,Luke Kennard,LAC,25,6-5,206,Duke,USA,2017,1,12,59,11.8,3.4,2.1,2.8,1.0%,10.4%,15.8%,62.2%,11.3%
,Luke Kornet,BOS,26,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,7,0.6,1.0,0.3,15.1,7.3%,10.5%,10.8%,19.4%,6.7%
,MJ Walker,PHX,23,6-5,213,Florida State,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.5,0.5,-19.5,0.0%,14.3%,13.8%,0.0%,16.7%
,Mac McClung,CHI,23,6-2,185,Texas Tech,USA,Undrafted,Undrafted,Undrafted,1,2.0,0.0,0.0,-14.3,0.0%,0.0%,33.3%,100%,0.0%
,Malachi Flynn,TOR,23,6-1,175,San Diego State,USA,2020,1,29,40,4.3,1.4,1.6,-1.5,1.6%,9.6%,15.5%,50.3%,18.5%
,Malcolm Brogdon,IND,29,6-5,229,Virginia,USA,2016,2,36,34,19.1,5.3,6.0,1.2,2.6%,12.5%,24.1%,55.8%,27.5%
,Malcolm Hill,CHI,26,6-6,220,Illinois,USA,Undrafted,Undrafted,Undrafted,17,4.1,1.9,0.3,-5.3,5.6%,10.8%,12.0%,63.5%,3.4%
,Malik Beasley,MIN,25,6-4,187,Florida State,USA,2016,1,19,68,12.5,2.9,1.4,1.5,1.3%,10.0%,19.6%,54.0%,8.3%
,Malik Fitts,BOS,24,6-5,230,St. Mary's College,USA,Undrafted,Undrafted,Undrafted,9,0.7,1.2,0.0,-44.4,0.0%,20.8%,14.0%,27.3%,0.0%
,Malik Monk,LAL,24,6-3,200,Kentucky,USA,2017,1,11,61,13.0,3.4,2.6,2.3,1.7%,9.8%,18.7%,59.2%,13.4%
,Malik Newman,CLE,25,6-3,190,Kansas,USA,2018,,,1,8.0,1.0,1.0,8.3,0.0%,10.0%,43.8%,68.0%,100%
,Mamadi Diakite,OKC,25,6-9,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted,13,4.3,4.5,0.2,-3.2,8.4%,21.6%,13.6%,54.0%,1.8%
,Marcus Garrett,MIA,23,6-5,205,Kansas,USA,Undrafted,Undrafted,Undrafted,12,1.1,1.9,0.6,5.8,7.2%,10.8%,8.6%,28.0%,6.9%
,Marcus Morris Sr.,LAC,32,6-8,218,Kansas,USA,2011,1,14,45,16.1,4.6,2.0,-4.1,1.6%,13.3%,23.0%,55.7%,11.0%
,Marcus Smart,BOS,28,6-4,220,Oklahoma State,USA,2014,1,6,59,12.1,3.9,5.6,8.6,1.9%,9.3%,17.4%,54.0%,23.4%
,Markelle Fultz,ORL,23,6-4,209,Washington,USA,2017,1,1,6,10.0,2.8,5.5,5.2,2.6%,12.6%,24.3%,59.1%,51.6%
,Markieff Morris,MIA,32,6-9,245,Kansas,USA,2011,1,13,11,7.5,2.9,1.4,10.0,6.7%,8.3%,19.6%,52.4%,10.1%
,Marko Simonovic,CHI,22,6-11,220,None,Montenegro,2020,2,44,9,1.9,1.1,0.0,1.2,12.2%,11.9%,24.7%,42.8%,0.0%
,Markus Howard,DEN,23,5-10,175,Marquette,USA,Undrafted,Undrafted,Undrafted,27,3.4,0.3,0.2,1.2,0.0%,5.3%,24.8%,55.0%,6.9%
,Marquese Chriss,DAL,24,6-9,240,Washington,USA,2016,1,8,23,5.0,3.5,0.5,1.3,8.6%,21.1%,21.2%,52.6%,7.8%
,Marvin Bagley III,DET,23,6-11,235,Duke,USA,2018,1,2,39,10.4,7.2,0.7,-4.9,9.2%,20.8%,18.9%,53.2%,4.4%
,Mason Jones,LAL,23,6-4,200,Arkansas,USA,Undrafted,Undrafted,Undrafted,2,2.5,1.0,0.0,-18.6,7.1%,9.1%,45.5%,28.2%,0.0%
,Mason Plumlee,CHA,32,6-11,254,Duke,USA,2013,1,22,59,6.6,8.0,3.1,1.6,9.0%,20.5%,11.4%,59.6%,16.2%
,Matisse Thybulle,PHI,25,6-5,201,Washington,USA,2019,1,20,51,5.6,2.3,1.1,0.8,2.3%,6.7%,9.6%,57.3%,6.3%
,Matt Mooney,NYK,27,6-2,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-100.0,0.0%,0.0%,40.0%,0.0%,0.0%
,Matt Thomas,CHI,27,6-3,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,37,4.1,1.3,0.5,1.2,0.7%,9.6%,13.5%,55.9%,6.0%
,Maurice Harkless,SAC,28,6-7,220,St. John's,USA,2012,1,15,44,4.9,2.5,0.5,-3.6,1.4%,11.2%,11.3%,56.1%,3.4%
,Max Strus,MIA,25,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted,56,10.6,3.1,1.3,4.8,1.8%,11.4%,17.7%,60.8%,8.6%
,Maxi Kleber,DAL,30,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted,49,7.2,5.9,1.1,3.8,4.8%,17.7%,13.0%,55.1%,6.6%
,McKinley Wright IV,MIN,23,5-11,192,Colorado,USA,Undrafted,Undrafted,Undrafted,3,1.7,0.0,0.3,-61.9,0.0%,0.0%,16.7%,83.3%,33.3%
,Micah Potter,DET,23,6-10,248,Wisconsin,USA,Undrafted,Undrafted,Undrafted,3,4.0,3.0,0.0,-56.4,9.5%,12.5%,14.8%,50.5%,0.0%
,Michael Porter Jr.,DEN,23,6-10,218,Missouri,USA,2018,1,14,9,9.9,6.6,1.9,9.8,3.5%,17.2%,19.2%,41.6%,8.5%
,Mikal Bridges,PHX,25,6-6,209,Villanova,USA,2018,1,10,68,13.7,4.4,2.3,10.0,3.0%,8.9%,14.5%,62.2%,8.4%
,Mike Conley,UTA,34,6-1,175,Ohio State,USA,2007,1,4,59,13.2,3.1,5.2,8.3,2.2%,8.2%,20.2%,56.1%,27.5%
,Mike Muscala,OKC,30,6-10,240,Bucknell,USA,2013,2,44,43,8.0,3.0,0.5,1.8,3.2%,16.6%,19.8%,63.0%,6.0%
,Miles Bridges,CHA,23,6-7,225,Michigan State,USA,2018,1,12,66,19.9,7.1,3.7,1.9,3.0%,15.6%,22.1%,58.1%,15.0%
,Miles McBride,NYK,21,6-1,195,West Virginia,USA,2021,2,36,29,1.7,0.8,1.0,19.4,1.3%,8.0%,14.3%,31.7%,16.4%
,Mitchell Robinson,NYK,23,7-0,240,Western Kentucky,USA,2018,2,36,62,8.4,8.7,0.5,-2.6,14.3%,18.5%,11.0%,72.9%,3.0%
,Miye Oni,UTA,24,6-5,206,Yale,USA,2019,2,58,16,0.3,0.4,0.3,-33.3,2.4%,11.8%,9.5%,26.5%,17.9%
,Mo Bamba,ORL,23,7-0,231,Texas-Austin,USA,2018,1,6,58,10.4,8.0,1.1,-10.4,7.5%,20.9%,16.5%,57.5%,6.8%
,Monte Morris,DEN,26,6-2,183,Iowa State,USA,2017,2,51,62,13.0,3.0,4.3,7.1,1.2%,8.7%,17.8%,58.5%,19.6%
,Montrezl Harrell,CHA,28,6-7,240,Louisville,USA,2015,2,32,58,13.9,6.7,2.0,1.3,9.3%,17.6%,20.1%,67.4%,13.3%
,Moritz Wagner,ORL,24,6-11,245,Michigan,Germany,2018,1,25,50,8.2,2.9,1.1,-4.9,3.7%,17.5%,23.2%,63.2%,14.6%
,Moses Brown,CLE,22,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted,27,3.1,2.3,0.0,1.6,9.1%,22.7%,21.3%,59.4%,1.0%
,Moses Moody,GSW,19,6-5,211,Arkansas,USA,2021,1,14,43,4.5,1.7,0.4,-4.9,3.3%,10.6%,15.1%,56.4%,5.5%
,Moses Wright,DAL,23,6-8,226,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,1.0,33.3,0.0%,0.0%,0.0%,0.0%,100%
,Mychal Mulder,ORL,27,6-3,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted,15,3.7,1.4,0.2,-12.8,0.9%,9.5%,16.4%,40.5%,2.4%
,Myles Powell,PHI,24,6-2,195,Seton Hall,USA,Undrafted,Undrafted,Undrafted,11,1.2,0.5,0.3,-15.1,1.9%,9.8%,16.3%,36.4%,8.8%
,Myles Turner,IND,25,6-11,250,Texas-Austin,USA,2015,1,11,42,12.9,7.1,1.0,-0.3,5.2%,18.8%,17.3%,61.5%,5.3%
,Naji Marshall,NOP,24,6-7,220,Xavier,USA,Undrafted,Undrafted,Undrafted,41,5.1,2.4,1.0,-0.4,4.9%,14.6%,20.4%,49.6%,12.3%
,Nassir Little,POR,22,6-5,220,North Carolina,USA,2019,1,25,42,9.8,5.6,1.3,-0.9,5.2%,15.8%,15.5%,57.5%,7.4%
,Nate Hinton,IND,22,6-5,210,Houston,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.0,0.0,76.2,0.0%,0.0%,25.0%,0.0%,0.0%
,Nathan Knight,MIN,24,6-10,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,31,3.2,2.1,0.6,4.3,10.4%,16.3%,18.9%,58.9%,13.0%
,Naz Reid,MIN,22,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,66,8.4,4.0,0.9,-1.2,7.5%,16.2%,20.8%,58.8%,8.9%
,Neemias Queta,SAC,22,7-0,248,Utah State,Portugal,2021,2,39,10,2.1,1.9,0.4,-5.0,14.9%,14.0%,19.5%,41.7%,10.8%
,Nemanja Bjelica,GSW,33,6-9,234,None,Serbia,2010,2,35,60,5.8,3.9,2.0,5.4,5.3%,18.5%,17.9%,54.7%,19.4%
,Nerlens Noel,NYK,27,6-11,220,Kentucky,USA,2013,1,6,25,3.4,5.6,0.9,-5.7,8.4%,16.1%,7.2%,58.1%,6.0%
,Nic Claxton,BKN,22,6-11,215,Georgia,USA,2019,2,31,33,8.4,5.2,0.8,-4.2,9.9%,14.5%,15.4%,64.3%,6.3%
,Nick Richards,CHA,24,7-0,245,Kentucky,Jamaica,2020,2,42,44,3.2,1.8,0.3,-12.4,8.0%,14.5%,14.5%,69.7%,5.6%
,Nickeil Alexander-Walker,UTA,23,6-5,205,Virginia Tech,Canada,2019,1,17,56,11.6,3.1,2.6,-4.5,2.6%,10.1%,24.1%,47.2%,16.9%
,Nicolas Batum,LAC,33,6-8,230,None,France,2008,1,25,49,8.5,4.4,1.6,-3.8,1.9%,15.0%,13.2%,60.0%,9.3%
,Nik Stauskas,BOS,28,6-6,207,Michigan,Canada,2014,1,8,4,3.0,0.8,0.3,17.5,3.1%,6.9%,17.1%,51.5%,5.0%
,Nikola Jokic,DEN,27,6-11,284,None,Serbia,2014,2,41,61,26.1,13.8,8.1,9.1,9.0%,31.4%,30.4%,65.4%,39.9%
,Nikola Vucevic,CHI,31,6-10,260,Southern California,Montenegro,2011,1,16,59,18.0,11.5,3.4,1.6,6.0%,27.8%,24.4%,53.6%,15.7%
,Norman Powell,LAC,28,6-3,215,UCLA,USA,2015,2,46,43,18.8,3.3,2.2,-8.7,1.4%,8.8%,22.9%,59.5%,10.6%
,Norvel Pelle,UTA,29,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted,3,2.0,2.0,0.0,-54.2,15.0%,15.8%,15.2%,60.0%,0.0%
,OG Anunoby,TOR,24,6-7,232,Indiana,United Kingdo...,2017,1,23,42,17.5,5.5,2.6,2.1,4.0%,11.4%,20.8%,53.8%,10.8%
