,,,,,,,,,,,,,,,,,,,,
,Obi Toppin,NYK,24,6-9,220,Dayton,USA,2020,1,8,58,7.1,3.5,0.8,6.6,6.1%,16.1%,19.9%,58.1%,9.3%
,Olivier Sarr,OKC,23,7-0,240,Kentucky,France,Undrafted,Undrafted,Undrafted,11,4.3,3.4,0.5,-19.9,9.4%,15.1%,15.1%,55.3%,4.8%
,Omer Yurtseven,MIA,23,6-11,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted,49,5.7,5.4,0.9,3.8,11.8%,30.3%,19.4%,56.5%,11.4%
,Onyeka Okongwu,ATL,21,6-8,240,Southern California,USA,2020,1,6,33,8.8,5.5,1.1,6.5,11.7%,14.1%,14.4%,72.6%,7.9%
,Oshae Brissett,IND,23,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,56,7.8,5.0,0.9,-5.4,6.6%,16.0%,15.5%,51.7%,5.6%
,Otto Porter Jr.,GSW,28,6-8,198,Georgetown,USA,2013,1,3,53,8.2,5.3,1.5,7.4,5.0%,18.7%,14.7%,59.1%,10.3%
,P.J. Dozier,DEN,25,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,18,5.4,3.5,1.6,-12.9,3.8%,14.4%,14.7%,46.3%,13.5%
,P.J. Tucker,MIA,36,6-5,245,Texas-Austin,USA,2006,2,35,61,8.1,5.5,2.1,6.0,5.5%,14.0%,12.0%,60.2%,10.9%
,P.J. Washington,CHA,23,6-7,230,Kentucky,USA,2019,1,12,51,10.0,5.5,2.1,1.1,4.5%,15.2%,15.6%,58.2%,10.9%
,Paris Bass,PHX,26,6-8,200,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted,2,3.0,2.0,0.0,0.7,20.0%,22.2%,36.0%,43.6%,0.0%
,Pascal Siakam,TOR,27,6-8,230,New Mexico State,Cameroon,2016,1,27,54,21.8,8.3,5.1,4.0,4.9%,17.6%,25.3%,55.4%,21.7%
,Pat Connaughton,MIL,29,6-5,209,Notre Dame,USA,2015,2,41,54,10.1,4.4,1.2,-0.4,2.4%,13.0%,13.2%,63.0%,6.4%
,Patrick Beverley,MIN,33,6-1,180,Arkansas,USA,2009,2,42,47,9.1,4.2,4.8,5.2,3.8%,12.0%,15.9%,53.1%,25.8%
,Patrick Williams,CHI,20,6-7,215,Florida State,USA,2020,1,4,5,6.6,2.2,0.6,5.3,0.8%,8.0%,9.3%,66.6%,3.3%
,Patty Mills,BKN,33,6-0,180,St.Mary's College of California,Australia,2009,2,55,67,12.4,2.0,2.5,0.8,0.8%,5.5%,16.5%,57.1%,11.3%
,Paul George,LAC,31,6-8,220,Fresno State,USA,2010,1,10,26,24.7,7.1,5.5,1.3,1.2%,17.5%,33.2%,52.8%,27.6%
,Paul Millsap,PHI,37,6-7,257,Louisiana Tech,USA,2006,2,47,31,3.5,3.5,0.9,-3.1,10.2%,18.6%,16.2%,46.2%,12.7%
,Paul Reed,PHI,22,6-9,210,DePaul,USA,2020,2,58,29,2.3,2.4,0.4,-10.3,12.4%,15.1%,13.5%,47.6%,7.3%
,Paul Watson,OKC,27,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,9,3.4,3.0,0.9,-17.9,1.6%,14.5%,10.6%,43.2%,7.4%
,Payton Pritchard,BOS,24,6-1,195,Oregon,USA,2020,1,26,58,5.1,1.6,1.7,-2.3,2.6%,8.9%,17.8%,52.5%,22.1%
,Petr Cornelie,DEN,26,6-11,220,None,France,2016,2,53,13,1.1,1.1,0.2,5.8,15.9%,21.9%,20.8%,41.8%,11.5%
,Precious Achiuwa,TOR,22,6-8,225,Memphis,Nigeria,2020,1,20,58,8.4,6.8,1.1,1.1,8.2%,20.2%,17.6%,48.7%,7.2%
,Quentin Grimes,NYK,21,6-4,210,Houston,USA,2021,1,25,40,6.3,1.9,1.0,-3.7,2.9%,7.5%,14.8%,58.4%,9.3%
,Quinndary Weatherspoon,GSW,25,6-3,205,Mississippi State,USA,2019,2,49,8,3.4,1.1,0.4,-9.8,2.0%,17.0%,16.8%,72.0%,9.1%
,R.J. Hampton,ORL,21,6-4,175,None,USA,2020,1,24,51,7.2,2.9,2.3,-13.7,1.3%,12.6%,18.4%,48.8%,18.7%
,RJ Barrett,NYK,21,6-6,214,Duke,Canada,2019,1,3,57,19.3,5.8,2.9,-3.8,2.2%,13.8%,26.0%,51.4%,14.2%
,RJ Nembhard Jr.,CLE,22,6-4,200,TCU,USA,Undrafted,Undrafted,Undrafted,10,1.5,0.5,1.1,-1.6,3.1%,4.9%,15.3%,44.7%,36.7%
,Rajon Rondo,CLE,36,6-1,180,Kentucky,USA,2006,1,21,35,4.9,2.9,4.2,-8.6,2.0%,11.9%,15.7%,48.5%,35.2%
,Raul Neto,WAS,29,6-2,180,None,Brazil,2013,2,47,57,7.9,2.0,3.1,-2.4,1.1%,8.8%,18.1%,52.7%,21.5%
,Rayjon Tucker,DEN,24,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,3,2.0,1.3,1.3,4.3,5.6%,10.3%,5.3%,79.8%,14.3%
,Reggie Bullock,DAL,30,6-6,205,North Carolina,USA,2013,1,25,57,8.2,3.4,1.1,5.0,1.5%,10.9%,12.9%,54.6%,5.9%
,Reggie Jackson,LAC,31,6-2,208,Boston College,USA,2011,1,24,66,17.0,3.8,4.8,-0.6,1.8%,9.4%,27.1%,49.3%,24.4%
,Reggie Perry,IND,21,6-8,250,Mississippi State,USA,2020,2,57,3,4.3,2.7,0.7,-13.4,3.1%,12.2%,9.4%,59.7%,5.6%
,Richaun Holmes,SAC,28,6-10,235,Bowling Green,USA,2015,2,37,43,10.7,7.3,1.1,-6.5,8.3%,20.1%,15.5%,69.0%,6.9%
,Ricky Rubio,IND,31,6-2,190,None,Spain,2009,1,5,34,13.1,4.1,6.6,9.1,1.5%,12.2%,23.4%,48.8%,34.8%
,Rob Edwards,OKC,25,6-5,205,Arizona State,USA,Undrafted,Undrafted,Undrafted,2,1.5,1.5,0.0,-59.1,0.0%,21.4%,22.7%,37.5%,0.0%
,Robert Covington,LAC,31,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,60,7.7,5.6,1.4,-0.8,3.1%,16.5%,12.8%,53.4%,6.7%
,Robert Williams III,BOS,24,6-9,237,Texas A&M,USA,2018,1,27,56,10.0,9.8,2.0,8.3,12.9%,17.6%,11.2%,73.7%,9.6%
,Robert Woodard II,SAS,22,6-6,235,Mississippi State,USA,2020,2,40,12,0.6,0.9,0.3,16.7,8.6%,14.6%,15.8%,20.7%,8.6%
,Robin Lopez,ORL,33,7-0,281,Stanford,USA,2008,1,15,28,7.6,3.7,1.6,-6.2,9.9%,9.2%,18.8%,58.4%,15.1%
,Rodney Hood,LAC,29,6-8,208,Duke,USA,2014,1,23,45,3.2,1.5,0.7,-1.5,2.1%,8.3%,10.6%,48.2%,7.3%
,Rodney McGruder,DET,30,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,41,4.7,2.0,0.8,-1.8,3.8%,10.3%,13.3%,58.6%,8.1%
,Romeo Langford,SAS,22,6-5,216,Indiana,USA,2019,1,14,45,4.8,2.3,0.4,1.1,3.7%,9.2%,12.5%,52.3%,3.8%
,Royce O'Neale,UTA,28,6-5,226,Baylor,USA,Undrafted,Undrafted,Undrafted,63,7.8,5.0,2.6,6.6,2.6%,12.4%,9.5%,65.2%,10.7%
,Rudy Gay,UTA,35,6-8,250,Connecticut,USA,2006,1,8,43,8.3,4.3,1.0,5.6,5.2%,16.2%,19.4%,52.9%,7.9%
,Rudy Gobert,UTA,29,7-1,258,None,France,2013,1,27,52,15.4,14.7,1.1,9.5,11.2%,31.3%,16.5%,73.1%,5.4%
,Rui Hachimura,WAS,24,6-8,230,Gonzaga,Japan,2019,1,9,26,9.8,3.2,0.9,-5.1,2.2%,13.7%,20.4%,59.6%,7.6%
,Russell Westbrook,LAL,33,6-3,200,UCLA,USA,2008,1,4,66,18.0,7.5,7.1,-3.4,3.8%,16.6%,26.6%,49.9%,31.6%
,Ryan Arcidiacono,NYK,27,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted,4,0.8,0.0,0.0,-25.7,0.0%,0.0%,6.1%,75.0%,0.0%
,Saben Lee,DET,22,6-2,183,Vanderbilt,USA,2020,2,38,31,4.9,2.3,2.3,-5.8,2.3%,12.7%,16.5%,48.2%,23.7%
,Saddiq Bey,DET,22,6-7,215,Villanova,USA,2020,1,19,68,15.9,5.8,2.8,-9.9,3.8%,12.9%,20.4%,52.4%,13.5%
,Sam Dekker,TOR,27,6-8,219,Wisconsin,USA,2015,1,18,1,0.0,0.0,0.0,-250.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Sam Hauser,BOS,24,6-7,217,Virginia,USA,Undrafted,Undrafted,Undrafted,15,1.6,0.5,0.3,-9.7,1.3%,8.6%,13.1%,57.1%,11.1%
,Sam Merrill,MEM,25,6-4,205,Utah State,USA,2020,2,60,6,4.2,1.2,0.7,-11.1,1.2%,10.7%,17.8%,48.5%,10.8%
,Sandro Mamukelashvili,MIL,22,6-9,240,Seton Hall,Georgia,2021,2,54,36,3.1,1.8,0.4,-16.3,8.3%,10.8%,13.4%,60.0%,7.7%
,Santi Aldama,MEM,21,6-11,215,Loyola-Maryland,Spain,2021,1,30,27,3.3,2.4,0.5,2.7,6.9%,14.7%,16.0%,42.5%,6.9%
,Scottie Barnes,TOR,20,6-7,225,Florida State,USA,2021,1,4,59,15.2,7.6,3.3,0.6,6.7%,14.3%,18.6%,55.1%,14.5%
,Scottie Lewis,CHA,22,6-5,185,Florida,USA,2021,2,56,2,0.5,0.0,0.5,-11.8,0.0%,0.0%,5.9%,56.8%,20.0%
,Scotty Hopson,OKC,32,6-7,204,Tennessee,USA,2011,0,0,1,4.0,1.0,1.0,-18.4,0.0%,4.3%,14.3%,50.0%,9.1%
,Sekou Doumbouya,LAL,21,6-9,230,None,France,2019,1,15,2,7.0,3.0,0.0,67.8,11.1%,18.2%,28.6%,71.7%,0.0%
,Semi Ojeleye,LAC,27,6-6,240,Southern Methodist,USA,2017,2,37,26,2.8,2.5,0.3,-18.5,6.4%,10.4%,11.7%,41.6%,3.0%
,Serge Ibaka,MIL,32,6-10,235,None,Republic of t...,2008,1,24,46,6.8,4.7,0.9,-4.0,7.2%,19.4%,17.5%,57.6%,8.6%
,Seth Curry,BKN,31,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted,56,15.2,3.3,3.9,4.0,1.0%,8.6%,18.6%,60.6%,17.2%
,Shai Gilgeous-Alexander,OKC,23,6-6,180,Kentucky,Canada,2018,1,11,52,24.0,4.9,5.9,-5.9,1.7%,11.3%,29.8%,54.8%,29.1%
,Shake Milton,PHI,25,6-5,205,Southern Methodist,USA,2018,2,54,39,8.7,2.8,2.6,-1.7,2.4%,9.6%,18.4%,49.6%,17.7%
,Shaq Buchanan,MEM,25,6-3,190,Murray State,USA,Undrafted,Undrafted,Undrafted,2,1.0,1.0,1.0,-8.7,9.1%,14.3%,21.4%,25.0%,25.0%
,Shaquille Harrison,BKN,28,6-4,195,Tulsa,USA,Undrafted,Undrafted,Undrafted,2,2.0,2.0,1.5,-12.4,5.3%,12.5%,14.8%,33.3%,18.8%
,Sharife Cooper,ATL,20,6-1,176,Auburn,USA,2021,2,48,11,0.6,0.5,0.5,-41.6,0.0%,16.7%,22.1%,25.0%,31.3%
,Skylar Mays,ATL,24,6-4,205,Louisiana State,USA,2020,2,50,24,3.3,1.0,0.7,-9.9,2.3%,9.4%,15.2%,60.6%,11.7%
,Solomon Hill,ATL,30,6-6,226,Arizona,USA,2013,1,23,13,0.6,1.8,0.9,14.3,4.3%,11.5%,6.4%,20.0%,11.7%
,Spencer Dinwiddie,DAL,28,6-6,215,Colorado,USA,2014,2,38,55,13.6,4.3,5.5,-1.0,2.2%,11.1%,20.7%,52.8%,28.2%
,Stanley Johnson,LAL,25,6-6,242,Arizona,USA,2015,1,8,33,6.2,3.1,1.5,-0.8,3.2%,10.8%,12.0%,56.3%,8.6%
,Stephen Curry,GSW,33,6-2,185,Davidson,USA,2009,1,7,62,25.5,5.3,6.4,10.7,1.6%,12.5%,29.2%,59.7%,28.5%
,Sterling Brown,DAL,27,6-5,219,Southern Methodist,USA,2017,2,46,44,3.3,3.1,0.7,3.2,3.8%,19.1%,12.4%,50.1%,7.6%
,Steven Adams,MEM,28,6-11,265,Pittsburgh,New Zealand,2013,1,12,65,7.2,9.8,3.3,7.9,15.9%,19.1%,12.0%,56.4%,15.0%
,Svi Mykhailiuk,TOR,24,6-7,205,Kansas,Ukraine,2018,2,47,51,4.8,1.8,0.8,-6.1,2.5%,10.4%,15.8%,50.8%,9.3%
,T.J. McConnell,IND,29,6-1,190,Arizona,USA,2015,0,,24,8.4,3.3,4.8,-5.0,3.2%,10.4%,15.5%,53.6%,28.7%
,Tacko Fall,CLE,26,7-6,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,11,1.1,2.1,0.2,-0.8,11.5%,27.1%,12.4%,39.8%,4.8%
,Taj Gibson,NYK,36,6-9,232,Southern California,USA,2009,1,26,44,4.0,4.4,0.6,5.2,9.0%,14.0%,9.3%,61.1%,4.8%
,Talen Horton-Tucker,LAL,21,6-4,234,Iowa State,USA,2019,2,46,49,9.5,3.3,2.7,-2.8,2.4%,9.7%,18.0%,49.4%,14.7%
,Taurean Prince,MIN,27,6-6,218,Baylor,USA,2016,1,12,57,6.5,2.4,0.9,1.8,1.9%,12.0%,16.2%,58.7%,7.8%
,Terance Mann,LAC,25,6-5,215,Florida State,USA,2019,2,48,69,10.4,5.4,2.4,0.4,4.3%,13.0%,15.2%,56.7%,12.4%
,Terence Davis,SAC,24,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,30,10.4,3.1,1.3,4.4,1.9%,13.8%,24.4%,54.3%,10.7%
,Terrence Ross,ORL,31,6-6,206,Washington,USA,2012,1,8,58,10.1,2.6,1.9,-11.7,1.3%,9.2%,19.5%,51.6%,13.1%
,Terry Rozier,CHA,27,6-1,190,Louisville,USA,2015,1,16,59,19.5,4.3,4.5,0.9,2.1%,9.9%,22.6%,56.3%,19.8%
,Terry Taylor,IND,22,6-5,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted,20,8.4,5.5,1.3,-2.0,15.0%,16.0%,15.7%,64.9%,10.3%
,Thaddeus Young,TOR,33,6-8,235,Georgia Tech,USA,2007,1,12,37,6.3,3.8,2.0,-5.2,9.0%,14.1%,17.8%,55.1%,19.9%
,Thanasis Antetokounmpo,MIL,29,6-6,219,None,Greece,2014,2,51,40,2.8,2.1,0.5,-11.0,9.0%,13.1%,14.1%,52.6%,7.9%
,Theo Maledon,OKC,20,6-4,175,None,France,2020,2,34,40,5.2,2.0,1.5,-17.3,2.2%,10.1%,18.4%,45.9%,15.7%
,Theo Pinson,DAL,26,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,16,1.8,1.2,0.8,-18.4,0.7%,14.1%,12.7%,41.5%,17.1%
,Thomas Bryant,WAS,24,6-10,248,Indiana,USA,2017,2,42,21,8.4,4.1,1.0,-10.8,6.8%,16.6%,19.3%,60.2%,9.4%
,Tim Frazier,CLE,31,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted,12,3.3,1.6,2.8,-17.5,2.4%,6.6%,13.7%,39.8%,25.4%
,Tim Hardaway Jr.,DAL,29,6-5,205,Michigan,USA,2013,1,24,42,14.2,3.7,2.2,1.3,1.0%,11.4%,21.4%,52.0%,11.5%
,Timothe Luwawu-Cabarrot,ATL,26,6-7,215,None,France,2016,1,24,39,3.8,1.3,0.7,-5.0,1.9%,8.6%,13.8%,53.7%,8.0%
,Tobias Harris,PHI,29,6-7,226,Tennessee,USA,2011,1,19,57,18.0,7.0,3.5,1.9,3.3%,16.7%,22.4%,56.1%,16.0%
,Tomas Satoransky,WAS,30,6-7,210,None,Czech Republi...,2012,2,32,39,3.1,2.0,2.4,-12.6,3.2%,10.3%,12.4%,41.7%,23.3%
,Tony Bradley,CHI,24,6-10,248,North Carolina,USA,2017,1,28,47,3.0,3.6,0.5,5.7,11.7%,19.6%,12.0%,60.0%,6.1%
,Tony Snell,NOP,30,6-6,213,New Mexico,USA,2013,1,20,49,3.4,2.0,0.5,-8.1,1.8%,10.9%,9.5%,53.5%,4.4%
,Torrey Craig,PHX,31,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,64,6.2,3.9,1.1,-7.2,5.1%,13.5%,14.0%,52.9%,8.2%
,Trae Young,ATL,23,6-1,164,Oklahoma,USA,2018,1,5,62,28.1,3.8,9.4,1.1,1.8%,9.1%,33.4%,59.6%,43.3%
,Trayvon Palmer,DET,27,6-6,200,Chicago State,USA,Undrafted,Undrafted,Undrafted,1,0.0,2.0,0.0,-33.0,0.0%,13.3%,5.3%,0.0%,0.0%
,Tre Jones,SAS,22,6-1,185,Duke,USA,2020,2,41,55,5.2,2.1,2.9,-2.9,2.5%,10.5%,14.9%,53.9%,26.4%
,Tre Mann,OKC,21,6-3,178,Florida,USA,2021,1,18,53,9.3,2.5,1.4,-9.9,1.3%,9.4%,20.5%,48.3%,10.2%
,Tremont Waters,WAS,24,5-10,175,Louisiana State,USA,2019,2,51,3,3.3,1.3,2.3,-17.1,0.0%,7.7%,15.0%,35.7%,17.9%
,Trendon Watford,POR,21,6-8,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,40,6.2,3.7,1.3,-15.8,5.7%,17.9%,15.7%,61.2%,14.2%
,Trent Forrest,UTA,23,6-4,210,Florida State,USA,Undrafted,Undrafted,Undrafted,54,3.2,1.6,1.7,4.8,2.7%,9.5%,12.3%,57.6%,18.6%
,Trevelin Queen,HOU,25,6-6,190,New Mexico State,USA,Undrafted,Undrafted,Undrafted,10,4.3,1.6,0.4,5.6,9.1%,13.4%,21.9%,61.9%,7.4%
,Trevon Scott,CLE,25,6-8,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,2,3.0,1.0,0.0,19.4,7.1%,8.3%,20.7%,50.0%,0.0%
,Trevor Ariza,LAL,36,6-8,215,UCLA,USA,2004,2,43,22,3.8,3.2,1.0,-4.8,1.4%,15.2%,10.3%,47.4%,7.5%
,Trey Burke,DAL,29,6-0,185,Michigan,USA,2013,1,9,36,5.6,0.8,1.4,0.0,1.0%,6.5%,25.2%,50.5%,21.7%
,Trey Lyles,SAC,26,6-9,234,Kentucky,Canada,2015,1,12,62,10.1,4.7,1.0,-7.6,5.9%,18.4%,21.3%,58.7%,8.8%
,Trey Murphy III,NOP,21,6-8,206,Virginia,USA,2021,1,17,48,4.4,2.2,0.6,-1.0,5.0%,12.1%,14.0%,53.1%,6.7%
,Tristan Thompson,CHI,31,6-9,254,Texas-Austin,Canada,2011,1,4,42,6.4,5.2,0.6,-5.1,12.4%,19.4%,17.6%,54.1%,5.1%
,Troy Brown Jr.,CHI,22,6-6,215,Oregon,USA,2018,1,15,56,4.4,3.2,1.0,-3.7,3.9%,14.8%,11.6%,51.5%,7.7%
,Ty Jerome,OKC,24,6-5,195,Virginia,USA,2019,1,24,48,7.1,1.6,2.3,-1.5,2.1%,7.2%,20.5%,48.8%,22.9%
,Tyler Cook,CHI,24,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted,19,3.4,2.7,0.2,-8.6,8.1%,20.0%,12.4%,64.5%,2.1%
,Tyler Hall,NYK,24,6-5,209,Montana State,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-100.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Tyler Herro,MIA,22,6-5,195,Kentucky,USA,2019,1,13,56,20.9,4.8,3.8,5.4,1.5%,12.4%,28.1%,55.4%,19.7%
,Tyler Johnson,SAS,29,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,6,2.8,2.0,1.2,-1.9,2.9%,10.0%,10.0%,42.5%,10.0%
,Tyrell Terry,MEM,21,6-2,160,Stanford,USA,2020,2,31,2,1.0,0.0,0.0,-6.9,0.0%,0.0%,11.1%,100%,0.0%
,Tyrese Haliburton,IND,22,6-5,185,Iowa State,USA,2020,1,12,64,15.3,4.0,7.9,-5.8,1.9%,9.3%,18.4%,59.4%,32.7%
,Tyrese Maxey,PHI,21,6-2,200,Kentucky,USA,2020,1,21,59,17.2,3.4,4.4,3.6,1.0%,8.6%,19.9%,58.2%,19.7%
,Tyrone Wallace,NOP,27,6-5,198,California,USA,2016,2,60,1,7.0,2.0,0.0,7.9,0.0%,11.8%,14.6%,47.8%,0.0%
,Tyus Jones,MEM,25,6-0,196,Duke,USA,2015,1,24,62,8.2,2.4,4.0,5.9,1.1%,10.1%,16.5%,54.3%,28.0%
,Udoka Azubuike,UTA,22,7-0,270,Kansas,Nigeria,2020,1,27,17,4.7,4.2,0.0,2.0,9.3%,23.3%,14.3%,74.3%,0.0%
,Udonis Haslem,MIA,41,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,9,2.9,2.0,0.3,7.5,7.4%,25.0%,18.8%,55.7%,7.7%
,Usman Garuba,HOU,20,6-8,229,None,Spain,2021,1,23,16,1.4,2.3,0.5,17.8,7.7%,24.1%,10.9%,42.5%,8.3%
,Vernon Carey Jr.,WAS,21,6-9,270,Duke,USA,2020,2,32,5,1.6,1.0,0.0,-53.7,13.6%,11.1%,16.7%,54.6%,0.0%
,Victor Oladipo,MIA,29,6-4,213,Indiana,USA,2013,1,2,3,6.7,1.7,3.0,8.6,0.0%,8.8%,18.0%,51.8%,26.5%
,Vit Krejci,OKC,21,6-8,195,None,Czech Republi...,2020,2,37,15,3.6,1.7,0.9,-15.7,1.9%,9.2%,10.3%,53.9%,8.4%
,Vlatko Cancar,DEN,24,6-8,236,None,Slovenia,2017,2,49,14,4.3,1.6,0.9,3.9,3.6%,10.8%,14.1%,67.8%,12.6%
,Wayne Ellington,LAL,34,6-4,207,North Carolina,USA,2009,1,28,38,6.3,1.7,0.7,-4.3,1.3%,7.7%,13.3%,59.0%,5.2%
,Wayne Selden,NYK,27,6-4,232,Kansas,USA,2016,,,3,1.7,0.3,0.3,-34.5,0.0%,5.3%,13.6%,43.4%,9.1%
,Wendell Carter Jr.,ORL,22,6-10,270,Duke,USA,2018,1,7,58,14.6,10.4,2.7,-3.9,7.3%,25.9%,20.2%,59.5%,14.8%
,Wenyen Gabriel,LAL,24,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,11,2.5,2.5,0.4,6.3,13.3%,16.1%,17.4%,45.6%,7.3%
,Wes Iwundu,ATL,27,6-6,195,Kansas State,USA,2017,2,33,3,7.3,4.3,0.0,-1.4,3.6%,14.3%,11.1%,55.7%,0.0%
,Wesley Matthews,MIL,35,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted,37,4.6,1.9,0.7,8.4,2.6%,6.2%,10.8%,49.4%,4.5%
,Will Barton,DEN,31,6-5,181,Memphis,USA,2012,2,40,58,14.9,4.9,3.8,1.6,1.9%,13.3%,20.9%,54.8%,17.4%
,Willie Cauley-Stein,PHI,28,7-0,240,Kentucky,USA,2015,1,6,20,1.7,2.0,0.5,7.2,6.4%,14.4%,9.9%,47.4%,7.4%
,Willy Hernangomez,NOP,27,6-11,250,None,Spain,2015,2,35,39,8.8,6.6,1.2,-1.1,14.9%,24.4%,21.0%,59.9%,11.3%
,Xavier Moon,LAC,27,6-2,165,Morehead State,USA,Undrafted,Undrafted,Undrafted,6,5.5,1.5,1.7,-7.8,1.0%,7.9%,18.4%,46.7%,19.6%
,Xavier Sneed,UTA,24,6-5,215,Kansas State,USA,Undrafted,Undrafted,Undrafted,2,0.0,1.0,0.0,-25.0,8.3%,16.7%,9.5%,0.0%,0.0%
,Xavier Tillman,MEM,23,6-8,245,Michigan State,USA,2020,2,35,42,4.4,2.8,1.0,-4.5,8.1%,13.9%,16.5%,51.1%,11.3%
,Yuta Watanabe,TOR,27,6-9,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,32,4.6,2.5,0.6,-5.3,3.8%,14.8%,15.8%,54.3%,6.8%
,Yves Pons,MEM,22,6-5,206,Tennessee,France,Undrafted,Undrafted,Undrafted,8,0.6,0.8,0.0,-22.2,7.7%,7.5%,6.5%,51.2%,0.0%
,Zach Collins,SAS,24,6-11,250,Gonzaga,USA,2017,1,10,14,6.0,4.9,1.8,-1.5,10.7%,18.2%,16.5%,60.8%,15.2%
,Zach LaVine,CHI,27,6-5,200,UCLA,USA,2014,1,13,54,24.6,4.9,4.5,1.0,0.9%,12.7%,28.6%,60.5%,20.5%
,Zeke Nnaji,DEN,21,6-9,240,Arizona,USA,2020,1,22,40,6.6,3.6,0.4,-2.3,7.9%,14.3%,14.5%,64.9%,3.4%
,Ziaire Williams,MEM,20,6-9,185,Stanford,USA,2021,1,10,49,7.7,2.0,0.9,2.4,1.8%,6.8%,13.8%,55.6%,5.4%
,Zylan Cheatham,UTA,26,6-5,220,Arizona State,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-106.8,0.0%,0.0%,25.0%,0.0%,0.0%